SatPRN,GPSTime,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0
G02,2024-04-13 16:51:36.417342,4436876.524074275,3085278.6874412326,3376310.701653491,22948159.07468715,43.0
G03,2024-04-13 16:51:36.417342,4436882.86761347,3085280.2997650476,3376315.863788753,24058778.322330758,42.0
G08,2024-04-13 16:51:36.417342,4436875.160833207,3085279.169708921,3376308.2712946893,21133596.263502687,47.8
G10,2024-04-13 16:51:36.417342,4436875.664475396,3085277.6070565437,3376310.2832723167,22788507.905097716,39.0
G21,2024-04-13 16:51:36.417342,4436878.557056937,3085278.539181027,3376315.6346878773,21707764.477237504,44.3
G27,2024-04-13 16:51:36.417342,4436867.987224199,3085276.4750237404,3376308.9993831124,22142539.095252085,45.2
G28,2024-04-13 16:51:36.417342,4435534.44976205,3085119.314305578,3376447.1853645165,23880923.43459964,35.5
G32,2024-04-13 16:51:36.417342,4435537.815098696,3085124.987180698,3376449.5854636156,21445038.954810735,45.6
G03,2024-04-13 16:51:36.417342,4435544.450502355,3085129.804826718,3376453.045550043,24056442.645586737,32.3
G08,2024-04-13 16:51:36.417342,4435535.900374286,3085126.0057354076,3376448.2444404983,21131245.614471845,34.7
G27,2024-04-13 16:51:36.417342,4436890.583418615,3085280.9469265686,3376319.2490023132,22140183.036653746,33.7
G32,2024-04-13 16:51:36.417342,4436888.267581816,3085280.312962148,3376312.144396305,21442681.116290186,27.8
G02,2024-04-13 16:51:37.417342,4436880.761630983,3085277.785006822,3376319.5286422707,22947653.92578402,45.2
G03,2024-04-13 16:51:37.417342,4436887.364398751,3085282.0662199887,3376320.0331542916,24058272.54521979,43.4
G08,2024-04-13 16:51:37.417342,4436892.901702321,3085286.032615259,3376316.764066,21133762.354675133,49.8
G10,2024-04-13 16:51:37.417342,4435548.567186719,3085131.1526818667,3376455.40488967,22788861.970015652,41.7
G21,2024-04-13 16:51:37.417342,4435541.554498836,3085129.270784524,3376452.060808364,21707414.914475743,46.7
G27,2024-04-13 16:51:37.417342,4435540.5630535735,3085132.892549956,3376448.557604436,22143068.81406179,47.7
G28,2024-04-13 16:51:37.417342,4436888.430741346,3085284.368820755,3376316.734998327,23880422.194545288,37.8
G32,2024-04-13 16:51:37.417342,4436885.963542194,3085284.253010205,3376322.2511075083,21445273.101832367,46.8
