SatPRN,GPSTime,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0
G10,2024-04-13 16:53:51.426041,4438536.937786615,3085403.903508599,3376938.435060009,22842072.081358805,48.3
G21,2024-04-13 16:53:51.426041,4434962.066404654,3084226.345458865,3374381.9002307598,21666527.37909077,45.7
G27,2024-04-13 16:53:51.426041,4439099.880475269,3086224.9832596947,3377297.7264468977,22220635.276217714,37.9
G32,2024-04-13 16:53:51.426041,4435063.317915991,3084401.0151327415,3374450.8671727185,21483377.29258742,48.5
G08,2024-04-13 16:53:51.426041,4436895.187962256,3085311.028773231,3376332.441847928,21160133.263325077,27.7
G10,2024-04-13 16:53:51.426041,4436859.787447068,3085277.33768652,3376307.1990735386,22839716.022760462,35.5
G27,2024-04-13 16:53:51.426041,4435644.987578524,3083518.7160143573,3375071.864960321,22218288.50113521,27.9
G32,2024-04-13 16:53:51.426041,4436872.856654191,3085287.3560501616,3376325.2550093126,21481016.417728987,24.6
G08,2024-04-13 16:53:52.426041,4436880.70263209,3085288.7107172287,3376330.5653993166,21162686.57918475,24.4
G10,2024-04-13 16:53:52.426041,4436888.6822261745,3085288.716610018,3376321.4162771534,22842458.81308435,50.6
G21,2024-04-13 16:53:52.426041,4436876.875458929,3085286.1672608308,3376318.114363258,21666219.80155289,42.1
G27,2024-04-13 16:53:52.426041,4435670.710286512,3085270.654551046,3375070.766086393,22221209.109177865,38.4
G32,2024-04-13 16:53:52.426041,4435074.724193362,3084400.54224099,3374453.127220255,21483654.29734382,49.7
G08,2024-04-13 16:53:52.426041,4435675.594970457,3085277.3468664754,3375070.9552121805,21160349.122518517,30.9
G10,2024-04-13 16:53:52.426041,4435660.689463706,3085258.174586021,3375064.612783239,22840104.84851214,40.0
G27,2024-04-13 16:53:52.426041,4436886.458427833,3085296.7816108516,3376319.999395423,22218865.021428894,29.5
G28,2024-04-13 16:53:52.426041,4436884.123468201,3085286.918576902,3376322.6684364066,23814959.447716657,22.6
G02,2024-04-13 16:53:53.426041,4436887.397127599,3085285.706649809,3376329.445668002,22884597.35457908,36.4
