SatPRN,GPSTime,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Pos.X,Pos.Y,Pos.Z,Latitude,Longitude,Altitude
G02,2024-04-13 16:51:36.417342,14573206.71411265,-5239567.640830624,22040175.96184369,22948159.07468715,43.0,4436876.524074275,3085278.6874412326,3376310.701653491,32.16879873391328,34.81366116708516,38.137020997703075
G03,2024-04-13 16:51:36.417342,23187580.558564216,-12122987.55877562,4011162.6919710715,24058778.322330758,42.0,4436882.86761347,3085280.2997650476,3376315.863788753,32.16880871392564,34.81363680491587,46.07319577597082
G08,2024-04-13 16:51:36.417342,24906736.30404856,4694270.572758321,8528081.895445965,21133596.263502687,47.8,4436875.160833207,3085279.169708921,3376308.2712946893,32.16878423357213,34.813673616545515,36.12870711181313
G10,2024-04-13 16:51:36.417342,-1329165.0720265834,17148086.34156501,20352420.163985148,22788507.905097716,39.0,4436875.664475396,3085277.6070565437,3376310.2832723167,32.16880189009192,34.81365696589446,36.79475736245513
G21,2024-04-13 16:51:36.417342,15699708.620245436,1536361.2559223245,21913664.42634119,21707764.477237504,44.3,4436878.557056937,3085278.539181027,3376315.6346878773,32.16882878282275,34.81364757114002,42.10466634389013
G27,2024-04-13 16:51:36.417342,23150795.05425613,13293206.07379138,-2593025.988618102,22142539.095252085,45.2,4436867.987224199,3085276.4750237404,3376308.9993831124,32.168825455572616,34.813693581658306,30.228635432198644
G28,2024-04-13 16:51:36.417342,5200268.047928143,25758890.151180234,-3885488.7660888904,23880923.43459964,35.5,4435534.44976205,3085119.314305578,3376447.1853645165,32.17556859059146,34.8203988090015,-898.8470316911116
G32,2024-04-13 16:51:36.417342,8094502.459394407,17964729.605067823,18113974.760810208,21445038.954810735,45.6,4435537.815098696,3085124.987180698,3376449.5854636156,32.17555808619552,34.82042781761691,-892.4887223597616
G03,2024-04-13 16:51:36.417342,14573637.157755837,-5236917.872893741,22040556.11196385,24056442.645586737,32.3,4435544.450502355,3085129.804826718,3376453.045550043,32.17554512572483,34.820429579749394,-883.7070389119908
G08,2024-04-13 16:51:36.417342,23187259.053250164,-12122514.97754027,4014342.794508614,21131245.614471845,34.7,4435535.900374286,3085126.0057354076,3376448.2444404983,32.17555260495675,34.820448279006825,-894.041033597663
G27,2024-04-13 16:51:36.417342,24907621.621711712,4694947.489705142,8525202.036002519,22140183.036653746,33.7,4436890.583418615,3085280.9469265686,3376319.2490023132,32.168802366043685,34.8135957353897,53.550571635365486
G32,2024-04-13 16:51:36.417342,-1331334.3680131258,17149413.627291784,20351116.047403943,21442681.116290186,27.8,4436888.267581816,3085280.312962148,3376312.144396305,32.168758999609864,34.81360423447876,47.852151706814766
G02,2024-04-13 16:51:37.417342,15700126.351931373,1538993.6651881896,21913269.6990149,22947653.92578402,45.2,4436880.761630983,3085277.785006822,3376319.5286422707,32.16885188434751,34.81362766238375,45.345525371842086
G03,2024-04-13 16:51:37.417342,23150430.25081132,13293291.289165769,-2596155.0586444973,24058272.54521979,43.4,4436887.364398751,3085282.0662199887,3376320.0331542916,32.16881797285058,34.81362496259514,52.27184542361647
G08,2024-04-13 16:51:37.417342,5200041.630917072,25759405.581586618,-3882362.5798162287,21133762.354675133,49.8,4436892.901702321,3085286.032615259,3376316.764066,32.16876031858196,34.8136259715858,56.296435471624136
G10,2024-04-13 16:51:37.417342,8092415.256527005,17963876.506956242,18115754.467669804,22788861.970015652,41.7,4435548.567186719,3085131.1526818667,3376455.40488967,32.17554320894314,34.82041638631174,-878.9386798823252
G21,2024-04-13 16:51:37.417342,14574067.76820618,-5234268.088813115,22040935.8126152,21707414.914475743,46.7,4435541.554498836,3085129.270784524,3376452.060808364,32.175550491384186,34.820442466518664,-886.5018696272746
G27,2024-04-13 16:51:37.417342,23186937.24185885,-12122042.15333005,4017522.810753316,22143068.81406179,47.7,4435540.5630535735,3085132.892549956,3376448.557604436,32.175517724335165,34.820480000023075,-887.3058562278748
G28,2024-04-13 16:51:37.417342,24908506.65134796,4695624.204662176,8522321.99879082,23880422.194545288,37.8,4436888.430741346,3085284.368820755,3376316.734998327,32.16878228136003,34.81363855119061,52.36970274709165
G32,2024-04-13 16:51:37.417342,-1333503.4494755473,17150740.95935104,20349811.50206375,21445273.101832367,46.8,4436885.963542194,3085284.253010205,3376322.2511075083,32.168834431434995,34.813652476753354,53.535958846099675
